"gutenberg_id" "text"
"1" 1608 "CAMILLE"
"2" 1608 "(LA DAME AUX CAMILIAS)"
"3" 1608 ""
"4" 1608 "By Alexandre Dumas, fils"
"5" 1608 ""
"6" 1608 ""
"7" 1608 ""
"8" 1608 ""
"9" 1608 "<Chapter 1>"
"10" 1608 ""
"11" 1608 "In my opinion, it is impossible to create characters until one has spent"
"12" 1608 "a long time in studying men, as it is impossible to speak a language"
"13" 1608 "until it has been seriously acquired. Not being old enough to invent, I"
"14" 1608 "content myself with narrating, and I beg the reader to assure himself of"
"15" 1608 "the truth of a story in which all the characters, with the exception of"
"16" 1608 "the heroine, are still alive. Eye-witnesses of the greater part of the"
"17" 1608 "facts which I have collected are to be found in Paris, and I might call"
"18" 1608 "upon them to confirm me if my testimony is not enough. And, thanks to a"
"19" 1608 "particular circumstance, I alone can write these things, for I alone"
"20" 1608 "am able to give the final details, without which it would have been"
"21" 1608 "impossible to make the story at once interesting and complete."
"22" 1608 ""
"23" 1608 "This is how these details came to my knowledge. On the 12th of March,"
"24" 1608 "1847, I saw in the Rue Lafitte a great yellow placard announcing a sale"
"25" 1608 "of furniture and curiosities. The sale was to take place on account of"
"26" 1608 "the death of the owner. The owner’s name was not mentioned, but the sale"
"27" 1608 "was to be held at 9, Rue d’Antin, on the 16th, from 12 to 5. The placard"
"28" 1608 "further announced that the rooms and furniture could be seen on the 13th"
"29" 1608 "and 14th."
"30" 1608 ""
"31" 1608 "I have always been very fond of curiosities, and I made up my mind not"
"32" 1608 "to miss the occasion, if not of buying some, at all events of seeing"
"33" 1608 "them. Next day I called at 9, Rue d’Antin."
"34" 1608 ""
"35" 1608 "It was early in the day, and yet there were already a number of"
"36" 1608 "visitors, both men and women, and the women, though they were dressed"
"37" 1608 "in cashmere and velvet, and had their carriages waiting for them at the"
"38" 1608 "door, gazed with astonishment and admiration at the luxury which they"
"39" 1608 "saw before them."
"40" 1608 ""
"41" 1608 "I was not long in discovering the reason of this astonishment and"
"42" 1608 "admiration, for, having begun to examine things a little carefully, I"
"43" 1608 "discovered without difficulty that I was in the house of a kept woman."
"44" 1608 "Now, if there is one thing which women in society would like to see (and"
"45" 1608 "there were society women there), it is the home of those women whose"
"46" 1608 "carriages splash their own carriages day by day, who, like them, side by"
"47" 1608 "side with them, have their boxes at the Opera and at the Italiens,"
"48" 1608 "and who parade in Paris the opulent insolence of their beauty, their"
"49" 1608 "diamonds, and their scandal."
"50" 1608 ""
"51" 1608 "This one was dead, so the most virtuous of women could enter even her"
"52" 1608 "bedroom. Death had purified the air of this abode of splendid foulness,"
"53" 1608 "and if more excuse were needed, they had the excuse that they had merely"
"54" 1608 "come to a sale, they knew not whose. They had read the placards, they"
"55" 1608 "wished to see what the placards had announced, and to make their choice"
"56" 1608 "beforehand. What could be more natural? Yet, all the same, in the midst"
"57" 1608 "of all these beautiful things, they could not help looking about for"
"58" 1608 "some traces of this courtesan’s life, of which they had heard, no doubt,"
"59" 1608 "strange enough stories."
"60" 1608 ""
"61" 1608 "Unfortunately the mystery had vanished with the goddess, and, for"
"62" 1608 "all their endeavours, they discovered only what was on sale since"
"63" 1608 "the owner’s decease, and nothing of what had been on sale during her"
"64" 1608 "lifetime. For the rest, there were plenty of things worth buying. The"
"65" 1608 "furniture was superb; there were rosewood and buhl cabinets and tables,"
"66" 1608 "Sevres and Chinese vases, Saxe statuettes, satin, velvet, lace; there"
"67" 1608 "was nothing lacking."
"68" 1608 ""
"69" 1608 "I sauntered through the rooms, following the inquisitive ladies of"
"70" 1608 "distinction. They entered a room with Persian hangings, and I was just"
"71" 1608 "going to enter in turn, when they came out again almost immediately,"
"72" 1608 "smiling, and as if ashamed of their own curiosity. I was all the more"
"73" 1608 "eager to see the room. It was the dressing-room, laid out with all the"
"74" 1608 "articles of toilet, in which the dead woman’s extravagance seemed to be"
"75" 1608 "seen at its height."
